,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dataset,track_link
2029,grand funk railroad,we're an american band,3XcjIvaZVUFAIdIYZqY9bd,0.637,0.89,7.0,-4.872,1.0,0.0677,0.119,6.72e-05,0.103,0.923,127.689,audio_features,spotify:track:3XcjIvaZVUFAIdIYZqY9bd,https://api.spotify.com/v1/tracks/3XcjIvaZVUFAIdIYZqY9bd,https://api.spotify.com/v1/audio-analysis/3XcjIvaZVUFAIdIYZqY9bd,207093.0,4.0,not_hot,https://open.spotify.com/track/3XcjIvaZVUFAIdIYZqY9bd
2030,robyn,be mine,3FtkFLmplS7GGPFMIQ0dSR,0.699,0.715,9.0,-4.705,1.0,0.104,0.32,0.0,0.0787,0.963,158.006,audio_features,spotify:track:3FtkFLmplS7GGPFMIQ0dSR,https://api.spotify.com/v1/tracks/3FtkFLmplS7GGPFMIQ0dSR,https://api.spotify.com/v1/audio-analysis/3FtkFLmplS7GGPFMIQ0dSR,208600.0,4.0,not_hot,https://open.spotify.com/track/3FtkFLmplS7GGPFMIQ0dSR
2031,run-d.m.c.,peter piper,5gsY63Dq5ht0LEvydhj9lA,0.873,0.62,7.0,-8.812,1.0,0.293,0.0113,0.000121,0.0925,0.574,105.332,audio_features,spotify:track:5gsY63Dq5ht0LEvydhj9lA,https://api.spotify.com/v1/tracks/5gsY63Dq5ht0LEvydhj9lA,https://api.spotify.com/v1/audio-analysis/5gsY63Dq5ht0LEvydhj9lA,204133.0,4.0,not_hot,https://open.spotify.com/track/5gsY63Dq5ht0LEvydhj9lA
2032,sex pistols,my way,0NUzX8hwfUC7ZZ1kaXckvb,0.249,0.833,4.0,-7.849,1.0,0.099,0.563,0.665,0.381,0.245,174.919,audio_features,spotify:track:0NUzX8hwfUC7ZZ1kaXckvb,https://api.spotify.com/v1/tracks/0NUzX8hwfUC7ZZ1kaXckvb,https://api.spotify.com/v1/audio-analysis/0NUzX8hwfUC7ZZ1kaXckvb,245413.0,4.0,not_hot,https://open.spotify.com/track/0NUzX8hwfUC7ZZ1kaXckvb
2033,bill monroe,mule skinner blues,3CIoKguwyGbZlcvc4KtlC6,0.55,0.408,8.0,-12.004,1.0,0.0317,0.419,0.00788,0.15,0.683,108.382,audio_features,spotify:track:3CIoKguwyGbZlcvc4KtlC6,https://api.spotify.com/v1/tracks/3CIoKguwyGbZlcvc4KtlC6,https://api.spotify.com/v1/audio-analysis/3CIoKguwyGbZlcvc4KtlC6,149200.0,4.0,not_hot,https://open.spotify.com/track/3CIoKguwyGbZlcvc4KtlC6
2034,richard harris,macarthur park,5DBEFajBEaHgbbwe7oN0KP,0.246,0.343,10.0,-15.643,1.0,0.0303,0.796,0.483,0.143,0.374,170.276,audio_features,spotify:track:5DBEFajBEaHgbbwe7oN0KP,https://api.spotify.com/v1/tracks/5DBEFajBEaHgbbwe7oN0KP,https://api.spotify.com/v1/audio-analysis/5DBEFajBEaHgbbwe7oN0KP,450107.0,3.0,not_hot,https://open.spotify.com/track/5DBEFajBEaHgbbwe7oN0KP
2035,elmore james,the sky is crying,1cRTAPP2FG9h2WiYMOIVIK,0.294,0.611,2.0,-6.268,1.0,0.0348,0.0226,0.435,0.114,0.567,178.191,audio_features,spotify:track:1cRTAPP2FG9h2WiYMOIVIK,https://api.spotify.com/v1/tracks/1cRTAPP2FG9h2WiYMOIVIK,https://api.spotify.com/v1/audio-analysis/1cRTAPP2FG9h2WiYMOIVIK,166400.0,3.0,not_hot,https://open.spotify.com/track/1cRTAPP2FG9h2WiYMOIVIK
2036,the eagles,take it easy,4eD592LoahqpyIAIRcnEwj,0.434,0.917,7.0,-6.564,1.0,0.0478,0.141,0.000994,0.956,0.634,138.971,audio_features,spotify:track:4eD592LoahqpyIAIRcnEwj,https://api.spotify.com/v1/tracks/4eD592LoahqpyIAIRcnEwj,https://api.spotify.com/v1/audio-analysis/4eD592LoahqpyIAIRcnEwj,225520.0,4.0,not_hot,https://open.spotify.com/track/4eD592LoahqpyIAIRcnEwj
2037,lee dorsey,get out of my life woman,6DNgKv1sWH2505Z5SAqAXr,0.841,0.4,6.0,-10.703,1.0,0.0334,0.294,0.000367,0.0335,0.855,89.594,audio_features,spotify:track:6DNgKv1sWH2505Z5SAqAXr,https://api.spotify.com/v1/tracks/6DNgKv1sWH2505Z5SAqAXr,https://api.spotify.com/v1/audio-analysis/6DNgKv1sWH2505Z5SAqAXr,146267.0,3.0,not_hot,https://open.spotify.com/track/6DNgKv1sWH2505Z5SAqAXr
2038,dixie chicks,wide open spaces,0td5ZRXGqzRVpNJGCGsnqG,0.601,0.512,4.0,-9.951,1.0,0.0277,0.065,0.346,0.235,0.611,89.717,audio_features,spotify:track:0td5ZRXGqzRVpNJGCGsnqG,https://api.spotify.com/v1/tracks/0td5ZRXGqzRVpNJGCGsnqG,https://api.spotify.com/v1/audio-analysis/0td5ZRXGqzRVpNJGCGsnqG,221466.0,4.0,not_hot,https://open.spotify.com/track/0td5ZRXGqzRVpNJGCGsnqG
2039,x-ray spex,the day the world turned day-glo,5vy6LczpItClpIT7KBA2xH,0.186,0.975,9.0,-2.764,1.0,0.159,0.00642,0.795,0.856,0.31,162.878,audio_features,spotify:track:5vy6LczpItClpIT7KBA2xH,https://api.spotify.com/v1/tracks/5vy6LczpItClpIT7KBA2xH,https://api.spotify.com/v1/audio-analysis/5vy6LczpItClpIT7KBA2xH,184640.0,4.0,not_hot,https://open.spotify.com/track/5vy6LczpItClpIT7KBA2xH
2040,the clovers,one mint julep,2C7A6Q8Im35rnZaOdt5jr8,0.719,0.239,3.0,-15.223,1.0,0.0419,0.755,0.0,0.122,0.774,106.409,audio_features,spotify:track:2C7A6Q8Im35rnZaOdt5jr8,https://api.spotify.com/v1/tracks/2C7A6Q8Im35rnZaOdt5jr8,https://api.spotify.com/v1/audio-analysis/2C7A6Q8Im35rnZaOdt5jr8,150067.0,4.0,not_hot,https://open.spotify.com/track/2C7A6Q8Im35rnZaOdt5jr8
2041,super furry animals,northern lites,2hmRqHPgqouPhbtv9I4stR,0.505,0.794,4.0,-5.261,1.0,0.0366,0.246,9.8e-05,0.536,0.962,139.027,audio_features,spotify:track:2hmRqHPgqouPhbtv9I4stR,https://api.spotify.com/v1/tracks/2hmRqHPgqouPhbtv9I4stR,https://api.spotify.com/v1/audio-analysis/2hmRqHPgqouPhbtv9I4stR,211533.0,4.0,not_hot,https://open.spotify.com/track/2hmRqHPgqouPhbtv9I4stR
